WHO_REGION,ISO_2_CODE,ADM1_NAME,ADM0_NAME,ADM1_CODE,ADM0_CODE,STARTDATE,ENDDATE,GUID,ISO_3_CODE,WHO_CODE,ADM1_ALTNA,ADM1_ALTCO,LVL,WHO_STATUS,UN_CODE,UNICEF_REG,CENTER_LON,CENTER_LAT,ADM1_VIZ_N,ADM0_GUID,NOTES,ADM0_VIZ_N,ADM1_PCODE,ADM0_PCODE,ADM1_SHAPE,ADM0_SHAPE,WHO_SUBREG,GlobalID,CODE,dates,rainfall
AFRO,ET,ADDIS ABABA,ETHIOPIA,ET001012000000000000,ET001000000000000000,2019-01-01,9999-12-31,b76c1867-0d84-467b-9dce-b7e6b710ca1a,ETH,ETH,NA,ADD,1,Member state,231,ESARO,38.7876721891,8.97860371203,Addis Ababa,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,Ethiopia,NA,NA,e132e550-7ab8-45c0-9d5f-1edbfd19d281,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,fc98f094-9bb6-4e6a-a0ca-d41b1549a3b8,{B76C1867-0D84-467B-9DCE-B7E6B710CA1A},2014-01-01,7.1273705833836605
AFRO,ET,ADDIS ABABA,ETHIOPIA,ET001012000000000000,ET001000000000000000,2019-01-01,9999-12-31,b76c1867-0d84-467b-9dce-b7e6b710ca1a,ETH,ETH,NA,ADD,1,Member state,231,ESARO,38.7876721891,8.97860371203,Addis Ababa,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,Ethiopia,NA,NA,e132e550-7ab8-45c0-9d5f-1edbfd19d281,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,fc98f094-9bb6-4e6a-a0ca-d41b1549a3b8,{B76C1867-0D84-467B-9DCE-B7E6B710CA1A},2014-02-01,27.60051787526984
AFRO,ET,ADDIS ABABA,ETHIOPIA,ET001012000000000000,ET001000000000000000,2019-01-01,9999-12-31,b76c1867-0d84-467b-9dce-b7e6b710ca1a,ETH,ETH,NA,ADD,1,Member state,231,ESARO,38.7876721891,8.97860371203,Addis Ababa,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,Ethiopia,NA,NA,e132e550-7ab8-45c0-9d5f-1edbfd19d281,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,fc98f094-9bb6-4e6a-a0ca-d41b1549a3b8,{B76C1867-0D84-467B-9DCE-B7E6B710CA1A},2014-03-01,50.213851527163854
AFRO,ET,ADDIS ABABA,ETHIOPIA,ET001012000000000000,ET001000000000000000,2019-01-01,9999-12-31,b76c1867-0d84-467b-9dce-b7e6b710ca1a,ETH,ETH,NA,ADD,1,Member state,231,ESARO,38.7876721891,8.97860371203,Addis Ababa,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,Ethiopia,NA,NA,e132e550-7ab8-45c0-9d5f-1edbfd19d281,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,fc98f094-9bb6-4e6a-a0ca-d41b1549a3b8,{B76C1867-0D84-467B-9DCE-B7E6B710CA1A},2014-04-01,38.769986604389395
AFRO,ET,ADDIS ABABA,ETHIOPIA,ET001012000000000000,ET001000000000000000,2019-01-01,9999-12-31,b76c1867-0d84-467b-9dce-b7e6b710ca1a,ETH,ETH,NA,ADD,1,Member state,231,ESARO,38.7876721891,8.97860371203,Addis Ababa,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,Ethiopia,NA,NA,e132e550-7ab8-45c0-9d5f-1edbfd19d281,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,fc98f094-9bb6-4e6a-a0ca-d41b1549a3b8,{B76C1867-0D84-467B-9DCE-B7E6B710CA1A},2014-05-01,74.92455492521587
AFRO,ET,ADDIS ABABA,ETHIOPIA,ET001012000000000000,ET001000000000000000,2019-01-01,9999-12-31,b76c1867-0d84-467b-9dce-b7e6b710ca1a,ETH,ETH,NA,ADD,1,Member state,231,ESARO,38.7876721891,8.97860371203,Addis Ababa,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,Ethiopia,NA,NA,e132e550-7ab8-45c0-9d5f-1edbfd19d281,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,fc98f094-9bb6-4e6a-a0ca-d41b1549a3b8,{B76C1867-0D84-467B-9DCE-B7E6B710CA1A},2014-06-01,57.58334752133018
AFRO,ET,ADDIS ABABA,ETHIOPIA,ET001012000000000000,ET001000000000000000,2019-01-01,9999-12-31,b76c1867-0d84-467b-9dce-b7e6b710ca1a,ETH,ETH,NA,ADD,1,Member state,231,ESARO,38.7876721891,8.97860371203,Addis Ababa,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,Ethiopia,NA,NA,e132e550-7ab8-45c0-9d5f-1edbfd19d281,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,fc98f094-9bb6-4e6a-a0ca-d41b1549a3b8,{B76C1867-0D84-467B-9DCE-B7E6B710CA1A},2014-07-01,163.64367756090667
AFRO,ET,ADDIS ABABA,ETHIOPIA,ET001012000000000000,ET001000000000000000,2019-01-01,9999-12-31,b76c1867-0d84-467b-9dce-b7e6b710ca1a,ETH,ETH,NA,ADD,1,Member state,231,ESARO,38.7876721891,8.97860371203,Addis Ababa,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,Ethiopia,NA,NA,e132e550-7ab8-45c0-9d5f-1edbfd19d281,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,fc98f094-9bb6-4e6a-a0ca-d41b1549a3b8,{B76C1867-0D84-467B-9DCE-B7E6B710CA1A},2014-08-01,223.12925479286596
AFRO,ET,ADDIS ABABA,ETHIOPIA,ET001012000000000000,ET001000000000000000,2019-01-01,9999-12-31,b76c1867-0d84-467b-9dce-b7e6b710ca1a,ETH,ETH,NA,ADD,1,Member state,231,ESARO,38.7876721891,8.97860371203,Addis Ababa,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,Ethiopia,NA,NA,e132e550-7ab8-45c0-9d5f-1edbfd19d281,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,fc98f094-9bb6-4e6a-a0ca-d41b1549a3b8,{B76C1867-0D84-467B-9DCE-B7E6B710CA1A},2014-09-01,124.38291971307052
AFRO,ET,ADDIS ABABA,ETHIOPIA,ET001012000000000000,ET001000000000000000,2019-01-01,9999-12-31,b76c1867-0d84-467b-9dce-b7e6b710ca1a,ETH,ETH,NA,ADD,1,Member state,231,ESARO,38.7876721891,8.97860371203,Addis Ababa,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,Ethiopia,NA,NA,e132e550-7ab8-45c0-9d5f-1edbfd19d281,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,fc98f094-9bb6-4e6a-a0ca-d41b1549a3b8,{B76C1867-0D84-467B-9DCE-B7E6B710CA1A},2014-10-01,29.0010663584659
